cantidad_productos,clasificacion,formatos,marcas,motivos,muestra_nombres,producto_base,productos_ids
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.19l;0.37l;0.65l,sin marca,formatos incompatibles,Acondicionador Dove Reconstrucción + Aminoacidos | Acondicionador Dove Reconstrucción + Aminoácidos 370 ml | Acondicionador Dove Reconstrucción + Aminoácidos 650 ml | Acondicionador Dove Reconstrucción + Aminoácidos 190 ml,acondicionador_dove_reconstruccion_aminoacidos_sin_marca,5677;26375;26898;27112
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.35kg;0.3kg;0.45kg,sin marca,formatos incompatibles,Queso Mantecoso Las Parcelas de Valdivia Trozo Granel | Queso mantecoso las parcelas de valdivia trozo granel 300 g | Queso mantecoso las parcelas de valdivia trozo 450 g | Queso mantecoso las parcelas de valdivia trozo 350 g,queso_mantecoso_las_parcelas_valdivia_trozo,7121;29860;29886;29948
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.35kg;0.45kg;0.47kg,sin marca,formatos incompatibles,Queso Mantecoso Las Parcelas de Valdivia Envasado Laminado 470 g | Queso Mantecoso Las Parcelas de Valdivia Envasado Trozo 350 g | Queso Mantecoso Las Parcelas de Valdivia Envasado Trozo 450 g | Queso Mantecoso Las Parcelas de Valdivia Envasado Laminado 350 g,queso_mantecoso_las_parcelas_valdivia_envasado,7134;7149;7166;7199
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.25kg;0.2kg;0.405kg;0.55kg,quillayes,formatos incompatibles,Tabla de Queso Quillayes Envasado Trozo 200 g | Tabla de Queso Quillayes Envasado Trozo 550 g | Tabla de Queso Quillayes Envasado Trozo 405 g | Tabla de Queso Quillayes Envasado Trozo 250 g,tabla_queso_envasado_trozo_quillayes_general,7159;7177;7216;7626
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.2kg;0.4kg,surlat,formatos incompatibles,Queso Mantecoso Laminado Sin Lactosa Surlat 400 g | Queso Mantecoso Surlat Sin Lactosa Laminado 200 g | Queso mantecoso surlat laminado sin lactosa 400 g | Queso mantecoso surlat laminado sin lactosa 200 g,queso_mantecoso_laminado_surlat_sin_lactosa,7253;7324;29968;30028
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.25kg;0.35kg;0.4kg,sin marca,formatos incompatibles,Queso Mantecoso Río Bueno Trozo 250 g | Queso Mantecoso Río Bueno Trozo 400 g | Queso Mantecoso Río Bueno Trozo 350 g | Queso mantecoso río bueno trozo 250 g,queso_mantecoso_rio_bueno_trozo_sin,7422;7463;7714;30011
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.245kg;0.485kg;1kg;3kg,sin marca,formatos incompatibles,Pasta de Mani King 245 g | Pasta de Maní Natural King 485 g | Pasta de Maní King 1 kg | Pasta de Maní King 3 kg,pasta_mani_king_sin_marca_general,7989;8419;8707;10277
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.12kg;0.13kg,sin marca,formatos incompatibles,Postre Chandelle Crema Sabor Chocolate 120 g | Postre Chandelle Crema Sin Lactosa Sabor Chocolate 120 g | Postre Chandelle Crema Sabor Chocolate 130 g | Postre Chandelle Crema Sin Lactosa Sabor Chocolate 130 g,postre_chandelle_crema_sabor_chocolate_sin,8152;8572;8684;8706
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.035kg;0.06kg;0.16kg;0.1kg,sin marca,formatos incompatibles,Pomada para Coceduras D' Hipoglós Hipoalergénica 100 g | Pomada para Coceduras D' Hipoglós Hipoalergénica 160 g | Pomada para Coceduras D' Hipoglós Hipoalergénica 60 g | Pomada para Coceduras D' Hipoglós Hipoalergénica 35 g,pomada_para_coceduras_d_hipoglos_hipoalergenica,8694;8695;8713;9553
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.35kg;0.75kg,sin marca,formatos incompatibles,Crema Corporal Pielarmina Clinical Advanced Urea 5% Piel Sensible 350 g | Crema Corporal Pielarmina Clinical Advanced Urea 15% 350 g | Crema Corporal Pielarmina Clinical Advanced Urea 15% 750 g | Crema Corporal Pielarmina Clinical Advanced Urea 5% Piel Sensible 750 g,crema_corporal_pielarmina_clinical_advanced_urea,8916;9411;9418;9445
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.245kg;0.2kg;0.98kg,sin marca,formatos incompatibles,Salsa de Tomate Maggi Tuco con Carne 245 g | Salsa de Tomate Maggi Tuco con Carne 980 g | Salsa de Tomate Maggi Tuco con Carne 200 g | Salsa de tomate maggi tuco con carne lata 245 g,salsa_tomate_maggi_tuco_con_carne,11229;11737;11786;30460
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,15kg;3kg;9kg,sin marca,formatos incompatibles,Alimento Perro Adulto Champion Dog Carne y Pollo 15 kg | Alimento Perro Adulto Champion Dog Carne y Cereales 9 kg | Alimento Perro Adulto Champion Dog Carne y Cereales 3 kg | Alimento Perro Adulto Champion Dog Carne y Vegetales 15 kg,alimento_perro_adulto_champion_dog_carne,11476;11810;11816;11906
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.1kg;0.375kg,sin marca,formatos incompatibles,Alimento Húmedo Perro Adulto Cannes Trocitos Jugosos Carne 100 g | Alimento Húmedo Perro Adulto Cannes Trocitos Jugosos Carne 375 g | Alimento Húmedo Perro Adulto Cannes Trocitos Jugosos Pollo 375 g | Alimento Húmedo Perro Adulto Cannes Trocitos Jugosos Pollo 100 g,alimento_humedo_perro_adulto_cannes_trocitos,11489;11763;29073;29075
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,12kg;15kg;3kg;9kg,sin marca,formatos incompatibles,Alimento Perro Adulto Master Dog Carne 9 kg | Alimento Perro Adulto Master Dog Carne 15 kg | Alimento Perro Adulto Master Dog Carne 3 kg | Alimento Perro Adulto Master Dog Carne 12 kg,alimento_perro_adulto_master_dog_carne,11504;11713;11828;12042
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,15kg;17kg;3kg;8kg,sin marca,formatos incompatibles,Alimento Perro Adulto Pedigree Carne Pollo y Cereal 15 kg | Alimento Perro Adulto Pedigree Carne Pollo y Cereal 8 kg | Alimento Perro Adulto Pedigree Carne Pollo y Cereal 3 kg | Alimento Perro Adulto Pedigree Carne Pollo y Cereal 17 kg Bonus Bag,alimento_perro_adulto_pedigree_carne_pollo,11708;11760;11768;12303
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,2kg;6kg,sin marca,formatos incompatibles,Alimento Gato Adulto Purina One Pollo y Carne 2 kg | Alimento Gato Adulto Purina One Pollo y Carne 6 kg | Alimento Gato Adulto Purina One Pollo y Salmón 6 kg | Alimento Gato Adulto Purina One Pollo y Salmón 2 kg,alimento_gato_adulto_purina_one_pollo,11798;12156;29177;29192
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.15kg;0.25kg,sin marca,formatos incompatibles,Helado Bites Frutos del Maipo Frambuesa Doypack 250 g | Helado Bites Frutos del Maipo Frambuesa 150 g | Helado Bites Frutos del Maipo Frambuesa Dark 250 g | Helado Bites Frutos del Maipo Frambuesa Dark 150 g,helado_bites_frutos_del_maipo_frambuesa,13160;13350;13605;13721
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.5kg;1kg,sin marca,formatos incompatibles,Azúcar Flor Iansa 1 kg | Azúcar Flor Iansa 500 g | Azúcar flor iansa 1 kg | Azúcar flor iansa 500 g,azucar_flor_iansa_sin_marca_general,14739;14751;30306;30308
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.5l;1l,sin marca,formatos incompatibles,Vinagre de Vino Blanco Traverso 1 L | Vinagre de Vino Blanco Traverso 500 ml | Vinagre vino blanco traverso 1 l | Vinagre vino blanco traverso 500 ml,vinagre_vino_blanco_traverso_sin_marca,15704;15708;30237;30242
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.5l;1l,sin marca,formatos incompatibles,Vinagre Manzana Traverso 1 L | Vinagre Manzana Traverso 500 ml | Vinagre manzana traverso 500 ml | Vinagre de manzana traverso 1 l,vinagre_manzana_traverso_sin_marca_general,15971;16028;30233;30245
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.5l;1l,sin marca,formatos incompatibles,Sucedáneo Jugo Limón Traverso 1 L | Sucedáneo Jugo Limón Traverso 500 ml | Sucedáneo jugo de limón traverso 500 ml | Sucedáneo jugo de limón traverso 1 l,sucedaneo_jugo_limon_traverso_sin_marca,16012;16095;30196;30197
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.13kg;0.3kg;0.5kg,sin marca,formatos incompatibles,Sal Rosada del Himalaya KA Fina 300 g | Sal Rosada del Himalaya KA Fina 130 g | Sal rosada del himalaya ka fina doypack 500 g | Sal rosada del himalaya ka fina gourmet 130 g,sal_rosada_del_himalaya_ka_fina,16031;16032;30209;30213
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.25l;0.75l;2l;5l,sin marca,formatos incompatibles,Aceite de Oliva Olive & Co 5 L | Aceite de Oliva Olive & Co 2 L | Aceite de Oliva Olive & Co 750 ml | Aceite de Oliva Olive & Co 250 ml,aceite_oliva_olive_co_sin_marca,16088;16093;16098;16116
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.03kg;0.2kg;0.31kg;0.63kg,sin marca,formatos incompatibles,Cereal Kellogg's Choco Krispis 630 g | Cereal Kellogg's Choco Krispis 30 g | Cereal Kellogg's Choco Krispis 310 g | Cereal Kellogg's Choco Krispis 200 g,cereal_kellogg_s_choco_krispis_sin,16356;16358;16382;16435
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.17kg;0.27kg;0.45kg;0.48kg,sin marca,formatos incompatibles,Cereal Kellogg's Froot Loops 270 g | Cereal Kellogg's Froot Loops 450 g | Cereal Kellogg's Froot Loops 170 g | Cereal Kellogg's Froot Loops 480 g,cereal_kellogg_s_froot_loops_sin,16378;16396;16415;16569
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.048kg;0.23kg;0.33kg;0.35kg,sin marca,formatos incompatibles,Ramitas Evercrisp Sabor Queso 330 g | Ramitas Evercrisp Sabor Queso 230 g | Ramitas Evercrisp Sabor Queso 48 g | Ramitas Evercrisp Sabor Queso 350 g,ramitas_evercrisp_sabor_queso_sin_marca,17456;17549;17729;19855
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.185kg;0.1kg;0.38kg,sin marca,formatos incompatibles,Papas Fritas Marco Polo Rústicas Sal de Mar 185 g | Papas Fritas Marco Polo Rústicas Sal de Mar 380 g | Papas Fritas Marco Polo Rústicas Sal Rosada y Pimienta 185 g | Papas Fritas Marco Polo Rusticas Sal de Mar 100 g,papas_fritas_marco_polo_rusticas_sal,17464;17519;18228;19970
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.062kg;0.204kg;0.369kg;0.442kg,sin marca,formatos incompatibles,Caramelos Masticables Skittles Sabor Original 62 g | Caramelos Masticables Skittles Sabor Original 204 g | Caramelos Masticables Skittles Sabor Original 369 g | Caramelos Masticables Skittles Sabor Original 442 g,caramelos_masticables_skittles_sabor_original_sin,17664;17788;17877;17971
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.2l;0.3l;1.5l,sin marca,formatos incompatibles,Néctar Watt's Naranja 200 cc | Néctar Watt's Naranja Light 200 cc | Néctar Watt's Naranja 1.5 L | Néctar Watt's Naranja 300 ml,nectar_watt_s_naranja_sin_marca,18984;18985;21343;21646
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.5l;0.75l;1l,sin marca,formatos incompatibles,Bebida Isotónica Gatorade Frutas Tropicales 1 L | Bebida Isotónica Gatorade Frutas Tropicales 500 cc | Bebida isotónica gatorade frutas tropicales 750 ml | Bebida isotónica gatorade frutas tropicales 500 ml,bebida_isotonica_gatorade_frutas_tropicales_sin,20707;20781;30656;30725
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.22l;0.25l;0.35l,sin marca,formatos incompatibles,Pack 6 un. Bebida Fanta Naranja Sin Azúcar 350 ml | Pack 6 un. Bebida Fanta Naranja 220 ml | Pack 6 un. Bebida Fanta Naranja 250 ml | Pack 6 un. Bebida Fanta Naranja 350 ml,pack_6_un__bebida_fanta_naranja,20719;20868;21104;21108
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.22l;0.25l;1.5l;1.75l,sin marca,formatos incompatibles,Bebida Fanta Pomelo 1.5 L | Bebida Fanta Pomelo 250 ml | Bebida Fanta Pomelo 220 ml | Bebida Fanta Pomelo 1.75 L,bebida_fanta_pomelo_sin_marca_general,20756;20853;21235;21273
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.25l;0.355l;0.473l,sin marca,formatos incompatibles,Bebida Energética Red Bull Zero 250 ml | Bebida Energética Red Bull 250 ml | Bebida Energética Red Bull 355 ml | Bebida Energética Red Bull 473 ml,bebida_energetica_red_bull_sin_marca,20764;20883;20919;20940
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.6l;0.85l;1.1l,sin marca,formatos incompatibles,Bebida Isotónica Powerade Rojo 850 ml | Bebida Isotónica Powerade Rojo 1.1 L | Bebida Isotónica Powerade Rojo 600 ml | Bebida isotónica powerade rojo 1.1 l,bebida_isotonica_powerade_rojo_sin_marca,20783;20827;20828;30623
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.591l;1.5l;1.75l;2l,sin marca,formatos incompatibles,Bebida Fanta Frutilla 2 L | Bebida Fanta Frutilla 1.75 L | Bebida Fanta Frutilla 591 ml | Bebida Fanta Frutilla 1.5 L,bebida_fanta_frutilla_sin_marca_general,21181;21183;21184;21234
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.4l;1.5l;1l,sin marca,formatos incompatibles,Néctar del Valle Durazno 1.5 L | Néctar del Valle Durazno 400 cc | Néctar del Valle Durazno Light 1 L | Néctar del Valle Durazno 1 L,nectar_del_valle_durazno_sin_marca,21393;21668;21991;21992
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.385l;0.475l;1l;2l,sin marca,formatos incompatibles,Limonada Love Lemon Pink 2 L | Limonada Love Lemon Pink 475 cc | Limonada Love Lemon Pink 1 L | Limonada Love Lemon Pink 385 cc,limonada_love_lemon_pink_sin_marca,21566;21632;21741;21810
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.6l;0.99l;1.6l;2.5l,sin marca,formatos incompatibles,Agua Mineral Vital Sin Gas 2.5 L | Agua Mineral Vital Sin Gas 600 ml | Agua Mineral Vital Sin Gas 1.6 L | Agua Mineral Vital Sin Gas 990 ml,agua_mineral_vital_gas_sin_marca,22016;22032;22035;22043
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.5l;0.6l;1.6l;2.25l,sin marca,formatos incompatibles,Agua Mineral Cachantun Gasificada 1.6 L | Agua Mineral Cachantun Gasificada 600 ml | Agua Mineral Cachantun Gasificada 2.25 L | Agua Mineral Cachantun Gasificada 500 ml,agua_mineral_cachantun_gasificada_sin_marca,22017;22026;22124;22138
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.33l;0.5l;0.75l;1l,sin marca,formatos incompatibles,Agua Mineral Evian Sin Gas 750 ml | Agua Mineral Evian Sin Gas 330 cc | Agua Mineral Evian Sin Gas 1 L | Agua Mineral Evian Sin Gas 500 cc,agua_mineral_evian_gas_sin_marca,22029;22034;22045;22051
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.355l;0.35l,sin marca,formatos incompatibles,Pack 24 un. Cerveza Royal Guard Premium Lager 5.0° 355 cc | Pack 24 un. Cerveza Royal Guard Lager 5.0° Lata 350 cc | Pack 24 un. Cerveza Royal Guard Golden Lager Lata 350 cc | Pack 24 un. Cerveza Royal Guard 5.0° 355 cc,pack_24_un__cerveza_royal_guard,22145;22201;22517;22944
4,error de normalizacion; error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.33l;0.354l,sin marca,formatos incompatibles,Pack 12 un. Cerveza Stella Artois Lager 5.2° 354 cc | Pack 12 un. Cerveza Stella Artois 330 cc | Pack 12 un. Cerveza Stella Artois Belga Lager 5.2° 354 cc | Pack 12 un. Cerveza Stella Artois 4.8° 330 cc,pack_12_un__cerveza_stella_artois,22160;22265;22580;22911
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.35l;0.47l;0.65l,sin marca,formatos incompatibles,Cerveza Volcanes del Sur Strong Lager 6.7° 470 cc | Cerveza Volcanes del Sur Strong Lager 6.5° 350 cc | Cerveza Volcanes del Sur Strong Lager 6.7° 350 cc | Cerveza Volcanes del Sur Strong Lager 6.5° 650 cc,cerveza_volcanes_del_sur_strong_lager,22179;22698;22903;22913
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.33l;0.354l;0.355l;0.473l,sin marca,formatos incompatibles,Pack 6 un. Cerveza Budweiser Lager 5.0° 473 cc | Pack 6 un. Cerveza Budweiser Lager Sin Alcohol 330 cc | Pack 6 un. Cerveza Budweiser Lager 5.0° 354 cc | Pack 6 un. Cerveza Budweiser Lager 5.0° 355 cc,pack_6_un__cerveza_budweiser_lager,22183;22360;22484;22654
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.33l;0.355l;0.473l;0.71l,sin marca,formatos incompatibles,Cerveza Cusqueña Golden Lager 4.8° 710 cc | Cerveza Cusqueña Golden Lager 4.8° 355 cc | Cerveza Cusqueña Golden Lager 4.8° 473 cc | Cerveza Cusqueña Golden Lager 4.8° 330 cc,cerveza_cusquena_golden_lager_4_8_sin,22354;22579;22726;22975
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.355l;0.35l;0.47l;0.71l,sin marca,formatos incompatibles,Cerveza Royal Guard Premium Lager 5.0° Lata 710 cc | Cerveza Royal Guard Premium Lager 5.0° 470 cc | Cerveza Royal Guard Premium Lager 5.0° 355 cc | Cerveza Royal Guard Premium Lager 5.0° 350 cc,cerveza_royal_guard_premium_lager_5_0,22410;22972;22977;22980
4,error de normalizacion; error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.33l;0.47l,sin marca,formatos incompatibles,Pack 12 un. Cerveza Austral Patagonia Red Lager 5.0° 330 cc | Pack 12 un. Cerveza Austral Patagonia Variedades 4.8° 470 cc | Pack 12 un. Cerveza Austral Patagonia Mix Lata 470 cc | Pack 12 un. Cerveza Austral Patagonia Hoppy 4.8° 330 cc,pack_12_un__cerveza_austral_patagonia,22559;22873;22947;22968
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.5l;1.5l;1l;2l,sin marca,formatos incompatibles,Vino Santa Helena Blanco Caja 2 L | Vino Santa Helena Blanco Caja 1 L | Vino Santa Helena Blanco Caja 1.5 L | Vino Santa Helena Blanco Caja 500 cc,vino_santa_helena_blanco_caja_sin,23418;24113;24164;24488
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.35kg;0.38kg;0.62kg,sin marca,formatos incompatibles,Pan Molde Fuchs Multigrano 620 g | Pan Molde Fuchs Multigrano 350 g | Pan Molde Fuchs Light Multigrano 620 g | Pan Molde Fuchs Multigrano 380 g,pan_molde_fuchs_multigrano_sin_marca,24554;24627;24825;24835
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.35kg;0.38kg;0.65kg;0.6kg,sin marca,formatos incompatibles,Pan Molde Fuchs Linaza Chia 600 g | Pan Molde Fuchs Linaza Chia 350 g | Pan Molde Fuchs Linaza Chía 380 g | Pan Molde Fuchs Linaza Chía 650 g,pan_molde_fuchs_linaza_chia_sin,24590;24648;24838;24857
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.35kg;0.38kg;0.63kg;0.6kg,sin marca,formatos incompatibles,Pan Molde Fuchs Calabaza Nuez 600 g | Pan Molde Fuchs Calabaza Nuez 350 g | Pan Molde Fuchs Calabaza y Nuez 380 g | Pan Molde Fuchs Calabaza Nuez 630 g,pan_molde_fuchs_calabaza_nuez_sin,24622;24780;24840;24877
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.4kg;0.54kg;0.63kg;0.6kg,sin marca,formatos incompatibles,Pan Molde Castaño Integral 400 g | Pan Molde Castaño Integral 600 g | Pan Molde Castaño Integral Light 540 g | Pan Molde Castaño Integral 630 g,pan_molde_castano_integral_sin_marca,24688;24728;24836;24837
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.4kg;0.62kg;0.6kg,sin marca,formatos incompatibles,Pan Molde Castaño Multigrano 600 g | Pan Molde Castaño Multigrano 400 g | Pan de molde castaño multigrano proteína 620 g | Pan de molde castaño multigrano proteína 400 g,pan_molde_castano_multigrano_sin_marca,24777;24783;30777;30910
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.8l;3l,omo,formatos incompatibles,Detergente Líquido Omo Piel Sensible Doypack 3 L | Detergente Líquido Omo Piel Sensible Doypack 800 ml | Detergente líquido omo piel sensible doypack 3 l | Detergente líquido omo piel sensible doypack 800 ml,detergente_piel_sensible_doypack_omo_liquido,24967;25033;30969;30971
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.2l;0.37l;1l,sin marca,formatos incompatibles,Pack Elvive Reparación Total 5: Shampoo 370 ml + Acondicionador 370 ml | Pack Elvive Reparación Total 5: Shampoo 370 ml + Acondicionador 200 ml | Pack Elvive Reparación Total 5: Shampoo 1 L + Acondicionador 370 ml | Pack Elvive Reparación Total 5: Shampoo 200 ml + Acondicionador 200 ml,pack_elvive_reparacion_total_5_shampoo,26436;26736;26784;26797
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.17l;0.2l;0.3l;0.4l,sin marca,formatos incompatibles,Acondicionador Pantene Pro-V Restauración 400 ml | Acondicionador Pantene Pro-V Restauración 300 ml | Acondicionador Pantene Pro-V Restauración 170 ml | Acondicionador Pantene Pro-V Restauración 200 ml,acondicionador_pantene_pro_v_restauracion_sin,26945;27075;27161;27330
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,15kg;18kg;3kg;4kg,sin marca,formatos incompatibles,Alimento Perro Amity Premium Salmón y Arroz 4 kg | Alimento Perro Amity Premium Salmón y Arroz 15 kg | Alimento Perro Amity Premium Salmón y Arroz 18 kg | Alimento Perro Amity Premium Salmón y Arroz 3 kg,alimento_perro_amity_premium_salmon_arroz,29010;29033;29065;29085
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,1.5kg;10kg,sin marca,formatos incompatibles,Alimento Gato Amity Premium Salmón y Arroz Esterilizados 1.5 kg | Alimento Gato Amity Premium Salmón y Arroz 1.5 kg | Alimento Gato Amity Premium Salmón y Arroz 10 kg | Alimento Gato Amity Premium Salmón y Arroz Esterilizados 10 kg,alimento_gato_amity_premium_salmon_arroz,29130;29134;29173;29197
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.085kg;0.156kg,sin marca,formatos incompatibles,"Alimento Húmedo Gato Pet's Fun Paté Atún con Pollo 85 g | Alimento Húmedo Gato Pet's Fun Paté Atún con Salmón 85 g | Alimento Húmedo Gato Pet's Fun Trocitos de Atún en Salsa 156 g | Alimento Húmedo Gato Pet's Fun Trocitos de Pollo, Salmón y Pescado 85 g",alimento_humedo_gato_pet_s_fun,29289;29290;29291;29292
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,1.5l;3l,sin marca,formatos incompatibles,Bebida limón soda no retornable 3 l | Bebida limón soda zero no retornable 3 l | Bebida limón soda no retornable 1.5 l | Bebida limón soda light no retornable 1.5 l,bebida_limon_soda_no_retornable_sin,29526;30556;30683;30701
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,1.5l;3l,sin marca,formatos incompatibles,Bebida pap no retornable 3 l | Bebida pap zero no retornable 3 l | Bebida pap zero no retornable 1.5 l | Bebida pap no retornable 1.5 l,bebida_pap_no_retornable_sin_marca,29536;30573;30676;30705
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.25l;0.355l;0.473l,sin marca,formatos incompatibles,Red bull bebida energética lata 250 ml | Red bull bebida energética zero lata 250 ml | Red bull bebida energética lata 355 ml | Red bull bebida energética lata 473 ml,red_bull_bebida_energetica_lata_sin,29553;30557;30661;30721
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,1.5l;3l,sin marca,formatos incompatibles,Bebida orange crush no retornable 3 l | Bebida orange crush zero no retornable 3 l | Bebida orange crush light no retornable 1.5 l | Bebida orange crush no retornable 1.5 l,bebida_orange_crush_no_retornable_sin,29558;30568;30704;30712
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.25l;0.5l;1l;5l,nuestra cocina,formatos incompatibles,Aceite de oliva nuestra cocina extra virgen 1 l | Aceite de oliva nuestra cocina extra virgen 500 ml | Aceite de oliva nuestra cocina extra virgen 250 ml | Aceite de oliva nuestra cocina extra virgen 5 l,aceite_oliva_extra_virgen_nuestra_cocina,30143;30146;30151;30168
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.05kg;0.1kg,sin marca,formatos incompatibles,Café instantáneo liofilizado nescafé fina selección origins alta rica frasco 100 g | Café instantáneo liofilizado nescafé fina selección origins colombia frasco 100 g | Café instantáneo liofilizado nescafé fina selección frasco 100 g | Café instantáneo liofilizado nescafé fina selección frasco 50 g,cafe_instantaneo_liofilizado_nescafe_fina_seleccion,30266;30276;30278;30297
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.5l;1l,sin marca,formatos incompatibles,Bebida aloe vera my way original 500 ml | Bebida aloe vera my way original 1 l | Bebida aloe vera zero my way original 500 ml | Bebida aloe vera zero my way original 1 l,bebida_aloe_vera_my_way_original,30665;30685;30689;30714
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.3l;0.47l;0.96kg;1.8l,sin marca,formatos incompatibles,Quitamanchas clorox ropa colores vivos 300 ml | Quitamanchas clorox ropa colores vivos 960 g | Quitamanchas clorox ropa colores vivos 1.8 l | Quitamanchas clorox ropa colores vivos 470 ml,quitamanchas_clorox_ropa_colores_vivos_sin,31026;31057;31060;31086
3,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.2l;1l,soprole,formatos incompatibles,Leche Semidescremada Cookies And Cream 200 ml Soprole | Leche Soprole Semidescremada Cookies And Cream 200 ml | Leche Soprole Semidescremada Cookies And Cream 1 L,leche_cookies_and_cream_soprole_semidescremada,85;6073;6353
3,error de producto_base; formato distinto; peso distinto; posible falso positivo; sabor distinto,0.18kg;0.4kg,lider,formatos incompatibles,Saborizante Para Leche En Polvo Fortificado Sabor Chocolate 180 g Lider | Saborizante Para Leche En Polvo Fortificado Sabor Frutilla 400 g Lider | Saborizante Para Leche En Polvo Fortificado Sabor Vainilla 180 g Lider,saborizante_para_leche_en_fortificado_sabor,106;107;183
3,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.2l;1l,surlat,formatos incompatibles,Leche Descremada Whey Proteína Chocolate 1 L Surlat | Leche surlat whey proteína descremada chocolate 200 ml | Leche surlat whey proteína descremada chocolate 1 l,leche_whey_proteina_chocolate_surlat_descremada,108;29340;29369
3,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.2l;1l,surlat,formatos incompatibles,Leche Descremada Whey Protein Chocolate 200 ml Surlat | Leche Descremada Surlat Whey Protein Chocolate 200 ml | Leche Descremada Surlat Whey Protein Chocolate 1 L,leche_whey_protein_chocolate_surlat_descremada,153;6192;6234
3,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.0462kg;0.127kg;0.487kg,sin marca,formatos incompatibles,"Chocolate Con Leche Y Mantequilla De Maní 46,2 g M&M'S | Chocolate Con Leche Y Mantequilla De Maní 487 g M&M'S | Chocolate Con Leche Y Mantequilla De Maní 127 g M&M'S",chocolate_con_leche_mantequilla_mani_m,202;313;317
